"UNIVERSIDADE SEVERINO SOMBRA","USS","RJ","Privada",22,13,207,3
"UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO","UNIFENAS","MG","Privada",44,33,206,3
"UNIVERSIDADE SALGADO DE OLIVEIRA","UNIVERSO","MG","Privada",93,58,206,3
"UNIVERSIDADE DE UBERABA","UNIUBE","MG","Privada",46,34,205,3
"UNIVERSIDADE PRESIDENTE ANTÔNIO CARLOS","UNIPAC","MG","Privada",321,114,205,3
"UNIVERSIDADE PAULISTA","UNIP","DF","Privada",339,252,204,3
"UNIVERSIDADE DE SANTO AMARO","UNISA","SP","Privada",25,22,204,3
"UNIVERSIDADE FEDERAL DO AMAPÁ","UNIFAP","AP","Federal",21,12,203,3
"UNIVERSIDADE DO CONTESTADO","UnC","SC","Privada",87,52,202,3
"UNIVERSIDADE TIRADENTES","UNIT","SE","Privada",37,24,202,3
"UNIVERSIDADE VALE DO RIO DOCE","UNIVALE","MG","Privada",29,21,201,3
"UNIVERSIDADE CAMILO CASTELO BRANCO","UNICASTELO","SP","Privada",40,29,199,3
"UNIVERSIDADE BANDEIRANTE DE SÃO PAULO","UNIBAN","SP","Privada",76,65,199,3
"UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA","UFRB","BA","Federal",12,1,197,3
"UNIVERSIDADE DE RIO VERDE","Fesurv","GO","Municipal",19,15,193,2
"UNIVERSIDADE ESTADUAL DE GOIÁS","UEG","GO","Estadual",139,101,192,2
"UNIVERSIDADE GUARULHOS","UNG","SP","Privada",35,24,192,2
"UNIVERSIDADE DE CUIABÁ","UNIC","MT","Privada",57,24,191,2
"UNIVERSIDADE ESTADUAL DO PIAUÍ","UESPI","PI","Estadual",149,41,190,2
"UNIVERSIDADE IBIRAPUERA","UNIb","SP","Privada",21,8,188,2
"UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL","UNEAL","AL","Estadual",19,14,185,2
"UNIVERSIDADE DO GRANDE ABC","UniABC","SP","Privada",26,18,185,2
"UNIVERSIDADE ESTADUAL DE RORAIMA","UERR","RR","Estadual",15,1,178,2
"UNIVERSIDADE DA AMAZÔNIA","UNAMA","PA","Privada",23,21,177,2
"UNIVERSIDADE SANTA ÚRSULA","USU","RJ","Privada",16,13,165,2
"UNIVERSIDADE IGUAÇU","UNIG","RJ","Privada",38,26,153,2
"UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL","UNCISAL","AL","Estadual",6,4,152,2
"FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO","UNIVASF","BA","Federal",12,0,,
"FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA","UNIPAMPA","RS","Federal",15,0,,
"UNIVERSIDADE DO TOCANTINS","UNITINS","TO","Estadual",11,0,,
